	.099999994	.1999999881	.2999999821	.3999999762	.5	.5999999642	.6999999881	.7999999523	1	1.1999999285	1.3999999762	1.5999999046	1.7999999523	1.8999999762	2	2.2000000477
400	15	20	18	10	7.5	-1	-4	-8	-12	-16	-16	-16	-16	-16	-16	-16
800	15	20	18.5	10	7.5	-1	-1.5	-3	-7	-11	-13	-16	-16	-16	-16	-16
1200	20	22	17	16	11	6	1	-2	-7.5	-14.5	-16	-16	-16	-16	-16	-16
1600	25	22	18	18	15	10.5	5.5	2	-1.5	-7	-12	-16	-16	-16	-16	-16
2000	27	27	25	23	22.5	17.5	14	8	2	-1	-5	-7	-9.5	-10.5	-11.5	-13.5
2400	29	29	27	24	23	19.5	13.5	9.5	5	-.5	-2.5	-5.5	-8	-10	-11.5	-16
2800	29	28.5	25	23	22	19.5	14.5	13.5	8	3.5		-2	-5.5	-8	-10.5	-14.5
3200	34	30	26	24	22.5	21	16.5	13.5	9	3.5	1	-1	-3.5	-6.5	-9	-16
3600	34	31	26.5	24	22.5	19	15.5	14	8	4	2	.5	-3.5	-5.5	-8	-16
4000	34	31	26	22.5	20	17.5	15	13	8	3.5	2.5	1.5	-1	-4	-6.5	-14
4400	34	31	27	21.5	20	17.5	16.5	14	10	4	2	3	1.5	-1	-3.5	-10.5
4800	36	33	25	22.5	21.5	19	16	14	11.5	9	7	4.5	1	-.5	-2.5	-10.5
5200	36	33	26	23	22	19	15	13	8	8	6	4	1	-1	-3	-6
5600	36	33	29	26	22	20	16	13	10	9	5	4.5	-1	-1.5	-3	-8
6000	36	33	29	26.5	24	21.5	21	19.5	14.5	13	8.5	4.5	-.5	-2	-3	-5
6400	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
6600	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
6800	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
7200	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
7600	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
8000	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
8400	36	33	32	31	30	27	23.5	20	17	13	7.5	2.5	-.5	-2	-3	-5
